month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_yy,active_listing_count,active_listing_count_yy,median_days_on_market,median_days_on_market_yy
202005,23901,"farmville, va",*,249950,0.2346,71,-0.0405,94,-0.0505
202005,19151,"philadelphia, pa",*,165049,0.0476,23,-0.623,80,0.5842
202005,33186,"miami, fl",,330050,-0.0075,147,-0.2794,72,0.1707
202005,45429,"dayton, oh",*,284950,0.5407,31,-0.6667,60,1.1053
202005,83014,"wilson, wy",,2750050,-0.0833,32,-0.2727,197,-0.039
202005,72734,"gentry, ar",,219950,0.1954,40,0.0811,50,0.3514
202005,55412,"minneapolis, mn",,189050,0.03,34,-0.32,32,0.2549
202005,53154,"oak creek, wi",,299950,0.0526,24,-0.3846,39,0.5
202005,75092,"sherman, tx",,279950,0.1043,93,-0.0106,73,0.1967
202005,38326,"counce, tn",,264050,0.1139,74,-0.2371,108,0.0537
202005,61102,"rockford, il",*,134950,0.7413,32,0.0323,86,0.7551
202005,40175,"vine grove, ky",*,225050,0.0024,40,-0.5556,59,0.1919
202005,70510,"abbeville, la",,165050,0.1379,73,-0.1798,104,-0.0756
202005,50265,"west des moines, ia",,289950,0.0544,69,0.0615,49,0.0538
202005,6880,"westport, ct",*,1449050,0.0444,303,-0.2628,88,0.1812
202005,91105,"pasadena, ca",*,1899050,0.0556,59,-0.2133,74,0.8272
202005,92821,"brea, ca",,749950,-0.047,39,-0.4,38,-0.1364
202005,29685,"sunset, sc",*,995050,-0.0863,97,-0.1182,198,1.5385
202005,75758,"chandler, tx",*,227950,-0.0037,35,-0.386,42,-0.1158
202005,49895,"wetmore, mi",,179950,0.1765,18,-0.4,303,0.212
202005,48748,"national city, mi",*,164950,0.2223,23,-0.3235,140,1.1705
202005,95032,"los gatos, ca",,2100050,0.05,43,-0.0851,52,0.7627
202005,37664,"kingsport, tn",,240050,-0.094,93,-0.2119,69,0.2321
202005,92543,"hemet, ca",,230049,-0.0108,82,-0.3109,78,0.2893
202005,75951,"jasper, tx",*,149950,0.0951,114,-0.2245,103,0.411
202005,6098,"winsted, ct",*,249950,0.1111,61,-0.4078,97,0.3957
202005,47172,"sellersburg, in",*,258050,-0.1238,54,-0.3864,51,0.3421
202005,72401,"jonesboro, ar",,169950,-0.1053,142,-0.5943,50,-0.1803
202005,32439,"freeport, fl",*,309750,0.04,129,0.1944,61,0.1402
202005,53066,"oconomowoc, wi",,485050,0.0115,121,-0.2577,49,0.0769
202005,95948,"gridley, ca",,329950,0.0476,19,-0.2963,69,0.8904
202005,66032,"garnett, ks",*,164950,0.6487,13,-0.6176,128,0.28
202005,45638,"ironton, oh",*,112550,0.3233,77,-0.1538,114,0.3735
202005,40330,"harrodsburg, ky",,259050,0.3454,80,-0.2381,71,0.2566
202005,63109,"saint louis, mo",*,238050,0.2369,26,-0.4583,37,0.0278
202005,91387,"canyon country, ca",,749050,0.128,61,-0.4649,64,0.4066
202005,27517,"chapel hill, nc",,649050,0.022,146,-0.3272,77,0.1579
202005,36571,"saraland, al",*,218850,0.2988,45,-0.1964,44,-0.1698
202005,78380,"robstown, tx",*,279950,0.405,31,-0.2955,135,0.4439
202005,24083,"daleville, va",,474000,-0.0327,16,-0.1111,72,0.6552
202005,7677,"woodcliff lake, nj",*,839050,-0.0118,25,-0.359,74,0.8974
202005,40213,"louisville, ky",,205050,0.0252,19,-0.05,35,0
202005,54520,"crandon, wi",*,170050,0.0337,22,-0.3889,206,0.622
202005,48182,"temperance, mi",,219950,-0.0227,30,-0.3023,60,0.4458
202005,60548,"sandwich, il",,229950,0.0243,29,-0.1471,60,0.0526
202005,31735,"cobb, ga",*,240050,-0.2131,17,0.0625,190,-0.1518
202005,32064,"live oak, fl",*,155050,0,25,0,101,0.0978
202005,18436,"lake ariel, pa",*,179950,-0.096,210,-0.2632,114,0.7273
202005,64089,"smithville, mo",*,339950,0.1928,34,-0.2766,76,1.2353
202005,75061,"irving, tx",,260050,0.0196,26,-0.1333,49,0.1951
202005,53149,"mukwonago, wi",*,380040,-0.1554,52,0.2093,36,-0.2174
202005,14727,"cuba, ny",*,129950,-0.2354,14,-0.4615,182,1.443
202005,40769,"williamsburg, ky",*,225050,0.7997,13,-0.2353,129,0.0531
202005,8090,"wenonah, nj",,239050,0.0844,28,-0.4167,74,-0.103
202005,71295,"winnsboro, la",*,139950,0.2834,22,-0.3125,179,0.6126
202005,34756,"montverde, fl",,990050,0.2184,33,0,111,0.2982
202005,25425,"harpers ferry, wv",*,289950,0.126,29,-0.4912,53,0.191
202005,77054,"houston, tx",,165050,-0.2499,116,-0.1212,66,0.6923
202005,59644,"townsend, mt",*,349050,0.2468,34,-0.2093,128,0.5901
202005,32254,"jacksonville, fl",,80050,0.1903,56,0.3023,67,-0.0946
202005,64834,"carl junction, mo",*,249950,0.4118,21,-0.5532,37,-0.3019
202005,16915,"coudersport, pa",*,129950,0.1055,47,0.3429,189,-0.2222
202005,87004,"bernalillo, nm",,349950,0.0445,28,-0.2,82,-0.0296
202005,1730,"bedford, ma",,825050,0.0314,30,-0.1429,28,-0.1765
202005,27258,"haw river, nc",*,281940,0.29,17,0.4167,35,-0.1358
202005,10589,"somers, ny",*,529050,0.0175,101,0.3467,46,0.0337
202005,99709,"fairbanks, ak",*,225050,2.00E-04,87,-0.0938,65,0.5476
202005,6460,"milford, ct",*,374550,0.0703,142,-0.432,59,0.2826
202005,46241,"indianapolis, in",*,87050,0.2015,28,0.3333,63,0.125
202005,30307,"atlanta, ga",,599950,-0.0362,212,0.0928,50,0.2821
202005,47331,"connersville, in",*,69950,-0.1251,58,-0.2368,78,0.4182
202005,31822,"pine mountain, ga",*,339550,0.0866,64,-0.3043,113,0.2768
202005,70005,"metairie, la",,584550,0.2708,78,-0.1429,68,0.1525
202005,32713,"debary, fl",,289950,0.0542,94,-0.1681,69,-0.0072
202005,51401,"carroll, ia",,169550,-0.1217,54,-0.0847,80,0.7391
202005,92703,"santa ana, ca",,570050,0.046,30,-0.4444,64,0.219
202005,31217,"macon, ga",*,109950,0.9973,88,-0.2727,211,0.169
202005,29302,"spartanburg, sc",,359950,-0.014,70,-0.0541,64,0.219
202005,87120,"albuquerque, nm",,350050,0.2391,138,-0.266,50,0.1494
202005,24219,"big stone gap, va",,137950,-0.0143,58,-0.1343,155,0.2109
202005,62454,"robinson, il",,120050,0.1707,88,-0.0737,193,0.4621
202005,33565,"plant city, fl",,399050,0.0244,28,-0.44,113,0.6377
202005,83429,"island park, id",*,425050,-0.0545,50,-0.0566,81,0.514
