ZIP,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number with paid preparer's signature,Number of returns with direct deposit,Number of exemptions,Number of dependent exemptions,Adjusted gross income (AGI),Salaries and wages in AGI - Number of returns,Salaries and wages in AGI - Amount,Business or profession net income (less loss) - Number of returns,Business or profession net income (less loss) - Amount,Net capital gain (less loss) in AGI - Number of returns,Net capital gain (less loss) in AGI - Amount,Taxable individual retirement arrangement distributions - Number of returns,Taxable individual retirement arrangement distributions - Amount,Pensions and annuities in AGI - Number of returns,Pensions and annuities in AGI - Amount,Total itemized deductions - Number of returns,Total itemized deductions - Amount,Total itemized deductions - Amount of AGI,Residential energy tax credit - Number of returns,Residential energy tax credit - Amount
75001,"9,340","6,280","1,930",940,"8,250",640,"3,970","5,940","13,780","2,800","922,040","8,280","567,631","1,920","24,712","1,830","69,500",670,"14,205",940,"20,328","2,270","73,795","524,823",50,38
75002,"30,620","12,600","14,430","3,140","26,810","2,160","12,200","18,770","66,010","24,350","2,966,629","26,900","2,262,913","6,540","102,377","6,430","147,217","2,880","62,106","4,360","103,801","12,630","335,555","2,016,991",400,418
75006,"23,870","12,170","7,710","3,630","20,340","2,150","12,350","15,000","46,110","15,810","1,290,388","20,350","1,004,956","5,210","58,488","2,870","34,850","1,890","34,146","2,940","59,568","5,180","109,198","514,290",230,215
75007,"26,370","12,250","10,620","3,110","22,890","2,040","11,570","16,560","50,930","15,950","1,876,107","22,900","1,468,946","5,650","74,729","4,390","45,574","2,400","46,032","3,670","77,744","8,300","182,033","988,539",370,312
75009,"6,710","2,200","3,910",560,"5,980",460,"3,080","4,130","16,860","6,870","760,820","5,940","583,130","1,720","27,412","1,380","44,842",600,"15,619","1,060","29,362","3,490","100,154","579,642",70,86
75010,"14,470","6,850","5,620","1,740","12,820",990,"6,310","9,330","27,940","9,000","1,225,176","13,130","994,596","3,010","42,278","2,530","37,936",960,"19,167","1,610","31,323","5,150","133,575","748,962",140,145
75013,"19,110","7,000","10,370","1,450","16,830","1,290","8,180","10,750","43,900","16,360","2,667,143","16,810","2,068,934","3,930","86,539","6,390","145,502","1,840","48,667","2,570","68,282","9,930","294,338","2,064,376",260,154
75019,"20,160","8,150","9,880","1,840","17,650","1,440","9,350","11,320","43,790","15,730","2,929,832","17,810","2,061,922","4,180","74,849","6,410","200,470","1,980","49,022","2,710","67,703","9,420","282,484","2,187,039",270,150
75020,"10,080","4,490","3,610","1,830","9,000",600,"4,830","6,960","19,630","6,420","549,031","8,330","363,238","1,530","17,547","1,150","15,281","1,060","18,098","1,980","41,747","1,710","44,229","228,472",50,53
75021,"3,880","1,660","1,560",560,"3,370",250,"1,950","2,570","7,550","2,280","193,615","3,130","134,854",700,"7,772",420,"4,460",390,"6,897",790,"16,500",640,"15,998","70,931",0,0
75022,"11,280","4,080","6,480",580,"9,860",770,"5,340","5,780","26,250","10,110","2,125,953","9,830","1,441,300","2,420","63,469","4,210","213,526","1,250","36,309","1,690","50,688","6,430","236,878","1,739,479",170,91
75023,"22,660","10,410","9,380","2,520","19,500","1,730","9,270","13,930","43,660","13,180","1,652,761","19,270","1,268,833","4,720","57,764","4,580","46,174","2,690","60,769","3,780","87,720","7,230","157,601","860,349",300,253
75024,"20,510","9,060","9,780","1,320","17,760","1,740","9,830","11,810","42,200","13,420","3,239,241","18,270","2,026,033","3,710","74,289","5,750","238,832","1,550","42,207","2,140","51,319","7,860","268,969","2,267,210",230,238
75025,"23,790","9,470","11,980","1,930","20,520","1,840","9,650","13,530","51,570","18,280","2,553,215","20,900","2,044,057","4,870","79,632","7,090","115,996","2,210","56,300","3,110","75,004","9,890","238,259","1,627,422",330,231
75028,"21,150","8,390","10,820","1,680","18,570","1,470","8,400","12,550","45,230","15,780","2,357,697","18,620","1,846,536","4,100","62,310","5,590","90,780","2,400","56,047","3,440","90,517","10,160","258,917","1,721,565",370,241
75032,"14,650","5,710","7,220","1,450","12,640","1,130","7,550","8,180","31,870","11,280","1,908,160","12,080","1,134,751","3,590","72,964","3,550","209,435","1,640","39,652","2,680","83,059","6,580","201,506","1,421,957",170,179
75034,"31,520","13,120","14,850","2,950","27,880","2,120","14,980","18,350","66,570","22,410","4,769,166","26,820","3,207,442","6,450","124,905","9,040","548,702","3,720","106,647","5,090","140,077","15,250","515,337","3,760,980",380,314
75035,"30,250","10,680","16,490","2,570","27,010","1,870","13,420","18,620","73,040","29,250","3,469,324","27,450","2,926,894","6,530","102,214","7,530","129,813","2,080","43,206","3,370","77,760","15,710","412,982","2,580,072",400,340
75038,"15,100","7,740","4,560","2,570","13,400","1,060","8,330","11,280","28,400","9,230","1,372,334","14,120","861,280","2,770","20,042","1,490","131,914",510,"13,221","1,050","19,454","3,340","114,959","833,671",60,70
75039,"11,820","6,760","4,090",760,"10,480",840,"5,400","8,010","19,960","4,350","1,246,149","11,260","1,046,611","1,840","23,865","2,250","63,418",410,"8,532",820,"16,230","3,700","99,179","661,439",40,46
75040,"28,880","13,450","9,680","5,340","23,970","3,290","14,890","19,010","59,450","22,830","1,241,637","24,640","1,023,726","6,910","67,774","1,870","12,617","1,600","26,041","3,220","58,093","5,310","102,136","403,875",310,285
75041,"13,450","6,030","4,360","2,910","10,970","1,710","7,390","8,880","29,390","12,320","539,805","11,310","411,287","3,190","32,725",770,"9,807",730,"11,129","1,400","24,235","1,910","38,377","136,225",130,144
75042,"17,020","8,040","5,340","3,440","14,040","2,030","10,050","11,030","36,310","14,980","597,645","14,300","484,008","4,180","43,539",880,"6,014",820,"12,322","1,490","24,572","2,110","39,865","127,311",120,105
75043,"28,780","13,190","9,340","5,780","24,660","2,520","14,370","19,690","57,930","21,480","1,419,171","24,760","1,100,013","6,190","52,370","2,330","40,667","2,190","36,918","4,130","94,390","6,450","137,890","558,271",300,320
75044,"21,350","10,190","8,030","2,770","18,100","1,990","10,210","12,900","40,570","12,640","1,397,758","17,810","1,032,362","5,100","66,949","3,360","47,992","2,090","44,980","3,090","72,837","5,810","145,612","711,417",290,250
75048,"11,820","4,680","5,730","1,220","10,350",960,"5,050","7,430","25,740","9,170","975,985","10,420","794,598","2,740","36,374","1,900","24,850",960,"18,149","1,680","40,479","5,090","123,697","640,401",190,143
